university_name,program_name,degree,tuition_fee_usd_total,program_duration_year,global_ranking,university_location,url,clean_degree_type,subject_tag,Value_Tier_Name
University of Szeged,Agricultural Engineering,BSc,18058.0,,646.0,"Szeged, Hungary",https://www.study.eu/university/university-of-szeged/bsc-agricultural-engineering,Bachelor's,⚙️ Engineering,🟢 Budget-Friendly
University of Helsinki,"Agricultural, Environmental and Resource Economics",MSc,35179.0,2.0,79.0,"Helsinki, Finland",https://www.study.eu/university/university-of-helsinki/msc-agricultural-environmental-and-resource-economics,Master's,📊 Business & Management,🟢 Budget-Friendly
University of Helsinki,Agricultural Sciences,MSc,35179.0,2.0,79.0,"Helsinki, Finland",https://www.study.eu/university/university-of-helsinki/msc-agricultural-sciences,Master's,📚 General/Other,🟢 Budget-Friendly
TBS Education,AI-Driven Digital Marketing & Analytics (Barcelona),Master,22866.0,1.0,,"Barcelona, Spain",https://www.study.eu/university/tbs-education/master-ai-driven-digital-marketing-analytics-barcelona,Master's,💻 Tech & IT,⚪ Unranked/Missing Data
University of Szeged,American Studies,MA,8912.0,,646.0,"Szeged, Hungary",https://www.study.eu/university/university-of-szeged/ma-american-studies-11272,Other,📚 General/Other,🟢 Budget-Friendly
SRH University,Applied Computer Science,MSc,28741.0,,6422.0,"Heidelberg, Germany + 2 more campuses",https://www.study.eu/university/srh-university/msc-applied-computer-science,Master's,💻 Tech & IT,🟡 Standard Value
SRH University,Applied Data Science and AI - Business Analytics,MSc,,,6422.0,"Fürth, Germany",https://www.study.eu/university/srh-university/msc-applied-data-science-and-ai-business-analytics,Master's,💻 Tech & IT,⚪ Unranked/Missing Data
University of Szeged,Applied Mathematics,MSc,12664.0,,646.0,"Szeged, Hungary",https://www.study.eu/university/university-of-szeged/msc-applied-mathematics-12421,Master's,📚 General/Other,🟢 Budget-Friendly
Chalmers University of Technology,Applied Mechanics,MSc,30198.0,,270.0,"Gothenburg, Sweden",https://www.study.eu/university/chalmers-university-of-technology/msc-applied-mechanics,Master's,⚙️ Engineering,🟢 Budget-Friendly
SRH University,Architecture - Design for the Built Environment,MA,17044.0,,6422.0,"Heidelberg, Germany + 1 more campus",https://www.study.eu/university/srh-university/ma-architecture-design-for-the-built-environment,Other,💻 Tech & IT,🟡 Standard Value
